,food_name,review,url,location,reviewer_score,average_score
26,Bake Cheese Tart - Ngô Đức Kế,"Quá là xuất sắc cho team cuồng cheese á, vỏ bánh giòn cắn 1 miếng cheese tan chảy trong miệng. Ăn thử là sẽ nghiện mất á. Giá chát mà đôi khi thèm cũng mua 😅😅😅 Coi lúc ra 1 mẻ bánh ở tiệm ta nói thơm ...",https://www.foody.vn/ho-chi-minh/bake-cheese-tart/binh-luan-5711583,Quận 1,8.0,7.7
27,Bò Bía Bình Dân,"Đi ngang khu vực này cả năm nay , tình cờ thấy xe bán bò pía lâu rồi mà không có ý định ghé ăn , trước giờ không mê món này cho lắm nhưng hôm nay cái BẠN già kia đòi ăn nên thử ai dè ... QUÁ SỨC TƯỞNG ...",https://www.foody.vn/ho-chi-minh/bo-bia-binh-dan/binh-luan-487767,Quận 1,7.6,7.6
28,Há Cảo & Bò Bía,"Thấy chỗ này bán ok, tương ngon, ăn mấy lần thấy tương đều nóng. Cô bán dễ chịu",https://www.foody.vn/ho-chi-minh/ha-cao-bo-bia/binh-luan-3696563,Quận 1,9.0,9.0
29,"Cô Hiếu - Gỏi Cuốn, Bì Cuốn & Bò Bía","Chiều nay lúc gần 17h ghé mua 6 gỏi cuốn tai heo, 6 gỏi cuốn tôm thịt. Tổng thiệt hại 72k. Sau khi về nhà mở ra mới biết chỉ có 11 cái. Làm ăn vậy coi được không nè. Đợi đã lâu rồi giờ còn thêm kiểu này ...",https://www.foody.vn/ho-chi-minh/co-hieu-goi-cuon-bi-cuon-bo-bia/binh-luan-2930503,Quận 1,1.6,6.9
30,Khóm - Coffee & Tea,"Đi ngang tìm một quán cafe để ngồi đọc sách thì vô tình gặp được quán , nhân viên rất nhiệt tình và thân thiện vì mình chỉ đi xe đạp mà bạn nhân viên vẫn dắt xe giúp mình . Order tại quầy với bạn nữ rất ...",https://www.foody.vn/ho-chi-minh/khom-coffee-tea/binh-luan-14303017,Quận 1,9.4,7.3
31,TOUS les JOURS - 6 Lê Thánh Tôn,Phong cách có thể không đồng bộ ở các cửa hàng. Nhưng các bạn nhân viên hiện tại phục vụ cực kỳ kém chuyên nghiệp: (i). Thái độ khi tiếp chuyện khách hàng không hoan hỉ; (ii). Lơ đãng lời ghi chú; (iii). ...,https://www.foody.vn/ho-chi-minh/tous-les-jours-6-le-thanh-ton/binh-luan-7816368,Quận 1,5.2,7.4
32,Brodard Bakery - Trần Hưng Đạo,"Brodard như là một thiên đường bánh vậy, bánh gì bánh gì cũng có, vào chẳng muốn ra cứ bị lôi cuốn vào bánh.Nhìn rất rất là hấp dẫn.Ngoài bánh ra ở đây còn có kem nữa, kem rất là ngon nhé! -Vị trí: dễ ...",https://www.foody.vn/ho-chi-minh/brodard-bakery-tran-hung-dao/binh-luan-2423534,Quận 1,8.0,6.6
33,Snowie - Huỳnh Thúc Kháng,"Không gian yên tĩnh, có ban công nhìn xuống đường có sách các loại như truyện, tiểu thuyết... có shop đồ từ thiện, hầu hết là đồ nữ T.T kem thì khỏi phải bàn, ít béo, ít ngọt, người ăn kiêng vẫn ăn được",https://www.foody.vn/ho-chi-minh/snowie-huynh-thuc-khang/binh-luan-126256,Quận 1,8.0,8.0
34,Đen Đá Cafe - Trà Sữa & Trà Đào - Pasteur,Hôm nay em và bạn em có ghé quán và em oder “Trà ôlong dâu dằm”. Bạn nhân viên ra nói với chị quản lý là hết ô long rồi xong chị quản lý nói với em ô lông còn xong chị quay qua nói bạn nhân viên đó còn ...,https://www.foody.vn/ho-chi-minh/den-da-cafe-tra-sua-tra-dao-pasteur/binh-luan-14277478,Quận 1,6.6,6.7
35,Veggie Saigon - Nhà Hàng Chay & Cafe - Đề Thám,"Ủa veggie Saigon mới đổi chủ hay sao mà nay mình đặt cơm còn thua phần 15k bán đầu hẻm nữa. Chờ 30’ cơm mới giao tới mà như cơm thừa canh cặn, làm cho có lệ vậy. Ăn cục tức chứ ko thấy ngon nghẻ gì. Mình ...",https://www.foody.vn/ho-chi-minh/veggie-saigon-nha-hang-chay-cafe/binh-luan-14165440,Quận 1,1.0,6.1
36,Marcel Gourmet Burger - Calmette,"Good location, great tasting beef, good value for the money. Highly recommended and I will certainly be back.",https://www.foody.vn/ho-chi-minh/marcel-gourmet-burger-calmette/binh-luan-12215468,Quận 1,9.8,7.6
37,IL Corda Charcoal Steakhouse,"Món ăn ở đây ngon Món mỳ ý tôm jum ăn ở đây siêu ngon, đỉnh nhất sài gòn Sợi mỳ dai dai ko cứng ko mềm, sốt ăn kèm vừa miệng mới đầu ăn thấy mặn sau đó nó ko còn thấy mặn nó quyện lại chua ngọt mặn cay ...",https://www.foody.vn/ho-chi-minh/il-corda-charcoal-steakhouse/binh-luan-9891442,Quận 1,9.2,7.6
38,Ngõ 89 - Trà Chanh & Nem Chua Rán - Nguyễn Du,"Vô tình thấy quán trên facebook, tới ăn thử thì sốc thật sự mọi người ơi vì review trên quán toàn khá tốt (chắc vì vài năm trước quán đã tốt như vậy). Quán mặt tiền đường*** dễ tìm, rộng rãi thoáng mát. ...",https://www.foody.vn/ho-chi-minh/ngo-89-tra-chanh-chem-gio/binh-luan-8953661,Quận 1,2.6,6.6
39,Mad Cow Wine & Grill,"Chuyện là mình và bạn gái đi ăn Steak ở SG cũng khá là nhiều chỗ, ăn nhiều nên cũng muốn tìm một chỗ mới để trải nghiệm, hôm qua chợt nhớ ra ở Pullman có quán Mad cow , mình xem thì thấy menu khá ổn, ...",https://www.foody.vn/ho-chi-minh/mad-cow-wine-grill/binh-luan-15652996,Quận 1,2.8,7.4
40,Chài Village - Sushi & Hải Sản Tươi Sống - Saigon House,"Coi đánh giá thì thấy bình thường, nhưng khi đến tận nơi đễ trải nghiệm thì ngoài sức tưởng tượng. Món ăn có lên hơi lâu nhưng do đi lúc quán đông có thể thông cảm ( đồ ăn lên tầm 25-30 phút là trả dần ...",https://www.foody.vn/ho-chi-minh/chai-village-sushi-hai-san-tuoi-song-saigon-house/binh-luan-14971968,Quận 1,10.0,9.0
41,Banana Leaf - Roti House Saigon,"Quán nhỏ nằm ở góc đường*** Không gian ấm cúng, có máy lạnh mát mẻ. Quán bán cả đồ Ấn, Mã Lai, Sing với Hoa. Bán naan giá hơi cao nhưng ngon, to dày, 2 người gọi 1 phần là đủ no. Chicken sorba (hay sobra ...",https://www.foody.vn/ho-chi-minh/banana-leaf-roti-house-saigon/binh-luan-10504653,Quận 1,8.4,8.5
42,Kem BUD'S - Vincom Center,"Thái độ nhân viên hơi tệ, đem ly nc ra mà như muốn quăng vào mặt khách lun ý.... Nước cacao vs macchiato (k có cà phê) thì dở tệ.",https://www.foody.vn/ho-chi-minh/kem-bud-s-vincom-center/binh-luan-2539407,Quận 1,2.4,7.0
43,Bandido Saigon - Đông Du,"Cozy comfortable place. Tried Tacos, Grilled Skirt Stake and Slow cooked juicy pork. Both are tasty. There are more variety of Tacos, all looks tasty. And attractive lineup of Margarita. Tried Spicy Passion ...",https://www.foody.vn/ho-chi-minh/bandido-saigon-dong-du/binh-luan-7909058,Quận 1,7.2,7.9
44,"Mỳ Ý, Beefsteak, Pizza - Sweet & Salt Factory","Ban đầu khi lựa món trên menu thì thực đơn khá basic, nhưng đồ ra rồi thì 2 đứa bọn mình đều rất bất ngờ vì hương vị đặc biệt và rất hợp miệng Quán khá nhỏ và ấm cúng, tuy nhiên hơi ám mùi 1 chút, vừa ...",https://www.foody.vn/ho-chi-minh/my-y-beefsteak-pizza-sweet-salt-factory/binh-luan-15649632,Quận 1,9.4,8.1
45,Ốc Khánh - Nguyễn Bỉnh Khiêm,"Thức ăn không phù hợp với giá tiền, hết nhiều món không báo trước với khách. Không mang chén, đũa ra mà phải đợi xin từng đợt. Chú giữ xe tính lấy 10K, may mà bạn mình biết miễn phí nên ngăn kịp.",https://www.foody.vn/ho-chi-minh/oc-khanh-nguyen-binh-khiem/binh-luan-15649267,Quận 1,1.0,
46,Haagen Dazs - Lê Thánh Tôn,Không khuyến khích đến ăn tại cửa hàng này                                     ,https://www.foody.vn/ho-chi-minh/haagen-dazs-le-thanh-ton/binh-luan-15648724,Quận 1,1.0,
47,Bún Bò Gánh - Nguyễn Du,"Mình đặt 3 phần, có note 2 phần không chả, chỉ lấy bò bắp. Vậy mà quán giao đến mình 3 phần y như nhau, thịt thì lèo tèo miếng nhỏ nhỏ như đốt ngón tay, 1 cục cả cua trộn hạt tiêu, 1 cục huyết to bự, ...",https://www.foody.vn/ho-chi-minh/bun-bo-ganh-ho-tung-mau/binh-luan-11343175,Quận 1,2.6,6.6
48,Shamballa Vegetarian Restaurant Lounge & Cafe,"Không gian đẹp đậm chất an yên, âm thanh nhạc*** tĩnh tâm, mùi hương xông dịu nhẹ thư giãn, món ăn vừa vị ngon thanh vừa trình bày rất đẹp. Nhân viên cực kỳ dễ thương và tâm lý. Một nhà hàng rất đáng ...",https://www.foody.vn/ho-chi-minh/shamballa-vegetarian-restaurant-lounge-cafe/binh-luan-15648390,Quận 1,5.0,7.7
49,Bún Mắm Nêm Cô Nổ - Nguyễn Thị Minh Khai,"Mình ăn đã đến quán tầm 3,4 lần. Những lần đầu mình thấy đồ ăn ok. Lần gần nhất mình ghé quán thì hơi bị thất vọng, thịt heo trong bún mắm nêm bị bở, cá hấp cũng bở toẹt, cảm giác như không phải là cá ...",https://www.foody.vn/ho-chi-minh/bun-mam-nem-co-no-nguyen-thi-minh-khai/binh-luan-13649562,Quận 1,5.2,6.7
50,Kacyo Restaurant 花蝶 - New World Saigon Hotel,"Nhớ hồi làm ở công ty IT thường được sếp dẫn đi ăn các món Nhật, lần gần nhất là tiệc chia tay nhân viên (trong đó có mình- từ dã công việc nặng đầu ấy). Kể cũng là một kỉ niệm đáng lưu tâm rồi. Không ...",https://www.foody.vn/ho-chi-minh/kacyo-restaurant/binh-luan-1068175,Quận 1,8.2,8.4
51,Signature Lounge - Caravelle Hotel,"Mình vừa về từ Loungue, quá sức tệ. 5 sao, giá cũng 5 sao, mà phục vụ tệ mạt. Nhấn mạnh tệ mạt. Lý do như sau: 1. Ngồi cả tiếng, ko ai tới service, phải đứng dậy, đi tới bar hay tới tận chỗ mấy bạn bồi ...",https://www.foody.vn/ho-chi-minh/signature-lounge-caravelle-hotel/binh-luan-1135905,Quận 1,5.4,7.3
52,Golden Central,Nhà hàng nằm trên tầng thượng khách sạn Golder Central. Mình mua 2 voucher gần 400k 2 món như trên. Mỗi phần có salad + 1 miếng mực và 1 miếng gà chiên đi kèm. Món cá hồi sốt chanh dây khá ngon. Salad ...,https://www.foody.vn/ho-chi-minh/golden-central/binh-luan-1309008,Quận 1,6.8,6.3
53,Nấp Sài Gòn - Cà Phê Trứng - Thủ Khoa Huân,"Cf trứng giữa trung tâm sg, decor quán nhẹ nhàng,xinh xắn, quán hơi nhỏ lại nhiều khách nên khá ngộp",https://www.foody.vn/ho-chi-minh/nap-sai-gon-ca-phe-trung-thu-khoa-huan/binh-luan-8623663,Quận 1,6.6,6.8
54,Nấp Sài Gòn - Cà Phê Trứng - Nguyễn Văn Thủ,"Nhiều người nói Nấp là nơi bán cà phê trứng ngon nhất SG. Thật v nha, lớp trứng rất thơm béo, k tanh. Tuy nhiên thì mình k đánh giá cao k gian ở đây lắm, decor tao nhã ok nhưng k gian kiểu bí bách nhỏ ...",https://www.foody.vn/ho-chi-minh/nap-saigon/binh-luan-12065711,Quận 1,8.0,7.3
55,Koheis Bar,"Recommend mng đi thử ạ. Quán mới nên hơi vắng, coktail rẻ 150k nhe. Mng có thể order a phục vụ pha theo sở thích , mng phục vụ rất là nice. Chủ quán là người nhật, lớn tuổi nhưng rất phong độ 😆",https://www.foody.vn/ho-chi-minh/koheis-bar/binh-luan-6269910,Quận 1,10.0,10.0
56,Kem Bơ - Trái Cây Tô 251 - Nguyễn Thị Minh Khai,"Sinh tố mãng cầu note ít đá ít ngọt mà đem đến ngọt và đá quá@@ Đậu hũ ăn ổn, dưa leo tươi ngọt.",https://www.foody.vn/ho-chi-minh/kem-bo-trai-cay-to-an-vat-nguyen-thi-minh-khai/binh-luan-13013682,Quận 1,6.8,7.5
57,QUI - Cuisine & Mixology,Khách vừa oder nước trả bill. Vừa đem ly nước ra đã tắt nhạc dẹp bàn ghế ngay lập tức 1am ??? Nếu đóng cửa sớm hơn bình thường tại sao không nói để khách không oder đồ uống nữa??? Nghiệp vụ nhân viên ...,https://www.foody.vn/ho-chi-minh/qui-lounge-le-thanh-ton/binh-luan-9741551,Quận 1,1.0,7.9
58,Chang Kang Kung - Hấp Thủy Nhiệt Hong Kong - Vincom Center Đồng Khởi,Vào 1 ngày đi mua sắm mình đã ghé vào nhà hàng để ăn trưa. Bình thường mình đi ở Chang Kang Kung Cộng Hoà. Nay mình test thử ở Vincom xem service như thế nào. Mình gởi xe tầng hầm rồi đi thang cuốn ...,https://www.foody.vn/ho-chi-minh/chang-kang-kung-hap-thuy-nhiet-hong-kong-vincom-center-dong-khoi/binh-luan-9608990,Quận 1,9.2,9.2
59,Dừa Dầm Trân Châu - Nguyễn Thị Minh Khai,"Len foody qua trời dừa dầm, lựa đai 1 quán gần nhà nhất de oder, ai ngờ ngon qua ạ, se ủng hộ, đáng đồng tiền",https://www.foody.vn/ho-chi-minh/dua-dam-tran-chau-nguyen-thi-minh-khai/binh-luan-6077988,Quận 1,9.2,9.2
60,Hàu Nhật Nướng Rocky Bay - Lê Thánh Tôn,"Quá ngon! Hào béo, tươi, con đều. Nêm nếm vừa miệng. Giá hạt dẻ, bao bì thì đẹp.",https://www.foody.vn/ho-chi-minh/hau-nhat-nuong-rocky-bay-le-thanh-ton/binh-luan-12426689,Quận 1,9.8,9.9
61,Mister Lai Kitchen - Chinese Cuisine & Hot Pot,"Món ăn 9/10. Không gian và phục vụ 10/10. Nhà hàng thể hiện cái tâm của người chủ Thật sự hài lòng dù nhà hàng đông hay vắng khách các bạn nhân viên vẫn rất nhiệt tình chuyên nghiệp, tư vấn và phục vụ ...",https://www.foody.vn/ho-chi-minh/mister-lai-kitchen-chinese-cuisine-hot-pot/binh-luan-12697666,Quận 1,9.4,8.4
62,Rau Kinh Giới - Ẩm Thực Bắc,"Là khách quen của quán mấy năm nay, đổi qua mấy đời chủ vẫn còn ăn quán, nay là lần cuối ăn quán này. Bún nghe mùi mốc nồng khi ăn với lẩu, giò heo cuốn thì khô khốc, nhân viên phục vụ nhìn ko sạch sẽ, ...",https://www.foody.vn/ho-chi-minh/rau-kinh-gioi-am-thuc-bac/binh-luan-4207809,Quận 1,3.0,7.7
63,Chang Kang Kung - Hấp Thủy Nhiệt Hong Kong - Saigon Centre,"Ai mà thích ăn đồ hấp thì chắc không còn xa lạ gì vs Chang Kang Kung nữa rồi, đồ hấp ở đây chắc khó chỗ nào trong SG bì lại luôn á. Mấy món tụi mình thấy ngon recommend nè: - Dẻ sườn bò 135k - món này ...",https://www.foody.vn/ho-chi-minh/chang-kang-kung-hap-thuy-nhiet-hong-kong-saigon-centre/binh-luan-14281937,Quận 1,7.0,8.4
64,Chef Thiện - French Bistro,"Quán đẹp, thức ăn ngon, phục vụ rất tận tình dễ thương, giá cả phải chăng     ",https://www.foody.vn/ho-chi-minh/chef-thien-french-bistro/binh-luan-15642321,Quận 1,9.6,8.8
65,Whisfee - Cafe Bar,Mình đi cuối tuần rồi. Quán xinh xắn trong trẻo vừa đủ cho một ngày chủ nhật muốn tìm đến yên ắng giữa trung tâm phố thị. Cái khung cửa ướt át như vừa đi qua cơn mưa rào xối mát. Tưởng là vừa mở vì search ...,https://www.foody.vn/ho-chi-minh/whisfee-cafe-bar/binh-luan-10296366,Quận 1,9.0,9.0
66,Ulsan BBQ,"Recommended to try.Location: quite convenient in the center of district 1. But that area is a bit dark and hard to see. Keep your car in front of the shop, free of charge. Space: a little tight in the ...",https://www.foody.vn/ho-chi-minh/ulsan-bbq/binh-luan-2543821,Quận 1,9.2,9.1
67,Oven Maru Chicken - Ẩm Thực Hàn Quốc,"Gà cà ri vị khá ngon, nhưng do đi 2 người nên ăn hơi ngán khi khẩu phần 1 phần gà như vậy khá nhiều. Tgian chờ món tầm 20p, quán mở máy lạnh nhiệt độ thấp quá, bị xếp chỗ gần dưới máy lạnh làm đồ ăn nguội ...",https://www.foody.vn/ho-chi-minh/oven-maru-chicken-am-thuc-han-quoc/binh-luan-14350980,Quận 1,5.8,8.2
68,Wakaba Japanese Restaurant,Mình ăn ở đây N lần rồi chắc ăn nát menu rồi nên làm biếng chụp ảnh luôn á! High recomment cho lựa chọn sushi sashimi chất lượng mà mức giá tầm trung nhé. không gian tầng 1 thoáng và sáng sủa hơn tầng ...,https://www.foody.vn/ho-chi-minh/wakaba-japanese-restaurant/binh-luan-8988604,Quận 1,8.6,8.3
69,Garden By Garden Restaurant,"Điểm cộng: không gian rộng rãi, thoáng mát, nhiều cây xanh. Quán cam kết không sử dụng nylon. Điểm trừ: - Phục vụ lấy order và mang món ra sai. Gọi cơm sườn bì chả thì mang ra cơm sườn bì. Gọi bún không ...",https://www.foody.vn/ho-chi-minh/garden-by-garden-eatery-restaurant/binh-luan-3954929,Quận 1,4.8,
70,Hoàng Yến Vietnamese Cuisine - Hai Bà Trưng,Món ăn***vị rất vừa ăn. Cách bài trí món ăn trang nhã. Nhân viên tận tình. Mình vs bạn gọi gỏi sứa và súp lá cẩm và lẩu ngũ hoa cá lăng. Nêm nế vừa phải ; thanh dịu. Chac chắn sẽ quay lại.,https://www.foody.vn/ho-chi-minh/hoang-yen-cuisine-hai-ba-trung/binh-luan-15638776,Quận 1,9.8,7.7
